"tree_species","neighbourhood_name","tree_scale","height_range_id","n_tree"
"PRUNUS CERASIFERA","KITSILANO","short",2,252
"PRUNUS CERASIFERA","MARPOLE","short",2,386
"PRUNUS CERASIFERA","MOUNT PLEASANT","short",2,58
"PRUNUS CERASIFERA","OAKRIDGE","short",2,519
"PRUNUS CERASIFERA","RENFREW-COLLINGWOOD","short",2,480
"PRUNUS CERASIFERA","RILEY PARK","short",2,438
"PRUNUS CERASIFERA","SHAUGHNESSY","short",2,464
"PRUNUS CERASIFERA","SOUTH CAMBIE","short",2,151
"PRUNUS CERASIFERA","STRATHCONA","short",2,24
"PRUNUS CERASIFERA","SUNSET","short",2,600
"PRUNUS CERASIFERA","VICTORIA-FRASERVIEW","short",2,636
"PRUNUS CERASIFERA","WEST END","short",2,109
"PRUNUS CERASIFERA","WEST POINT GREY","short",2,204
"PRUNUS SERRULATA","ARBUTUS-RIDGE","short",2,221
"PRUNUS SERRULATA","DOWNTOWN","short",2,85
"PRUNUS SERRULATA","DUNBAR-SOUTHLANDS","short",2,570
"PRUNUS SERRULATA","FAIRVIEW","short",2,177
"PRUNUS SERRULATA","GRANDVIEW-WOODLAND","short",2,306
"PRUNUS SERRULATA","HASTINGS-SUNRISE","short",2,206
"PRUNUS SERRULATA","KENSINGTON-CEDAR COTTAGE","short",2,312
"PRUNUS SERRULATA","KERRISDALE","short",2,413
"PRUNUS SERRULATA","KILLARNEY","short",2,217
"PRUNUS SERRULATA","KITSILANO","short",2,341
"PRUNUS SERRULATA","MARPOLE","short",2,402
"PRUNUS SERRULATA","MOUNT PLEASANT","short",2,403
"PRUNUS SERRULATA","OAKRIDGE","short",2,494
"PRUNUS SERRULATA","RENFREW-COLLINGWOOD","short",2,519
"PRUNUS SERRULATA","RILEY PARK","short",2,347
"PRUNUS SERRULATA","SHAUGHNESSY","short",2,304
"PRUNUS SERRULATA","SOUTH CAMBIE","short",2,216
"PRUNUS SERRULATA","STRATHCONA","short",2,99
"PRUNUS SERRULATA","SUNSET","short",2,419
"PRUNUS SERRULATA","VICTORIA-FRASERVIEW","short",2,385
"PRUNUS SERRULATA","WEST END","short",2,226
"PRUNUS SERRULATA","WEST POINT GREY","short",2,180
"TILIA EUCHLORA   X","DOWNTOWN","short",2,33
"TILIA EUCHLORA   X","DUNBAR-SOUTHLANDS","short",2,20
"TILIA EUCHLORA   X","FAIRVIEW","short",2,12
"TILIA EUCHLORA   X","GRANDVIEW-WOODLAND","short",2,13
"TILIA EUCHLORA   X","HASTINGS-SUNRISE","short",2,28
"TILIA EUCHLORA   X","KENSINGTON-CEDAR COTTAGE","short",2,18
